Item,Fixation,Con Target Region,Incon Target Region
50,Middle,Middle,Upper
50,Lower,Middle,Upper
50,Lower,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Lower,Middle,Upper
50,Lower,Middle,Upper
50,Middle,Middle,Upper
50,Lower,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Lower,Middle,Upper
50,Lower,Middle,Upper
50,Lower,Middle,Upper
50,Lower,Middle,Upper
50,Middle,Middle,Upper
50,Upper,Middle,Upper
50,Upper,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
80,Middle,Middle,Upper
80,Middle,Middle,Upper
80,Middle,Middle,Upper
80,Middle,Middle,Upper
80,Middle,Middle,Upper
80,Middle,Middle,Upper
80,Middle,Middle,Upper
80,Upper,Middle,Upper
80,Upper,Middle,Upper
80,Upper,Middle,Upper
80,Upper,Middle,Upper
80,Middle,Middle,Upper
80,Middle,Middle,Upper
80,Middle,Middle,Upper
80,Middle,Middle,Upper
80,Middle,Middle,Upper
80,Middle,Middle,Upper
80,Middle,Middle,Upper
80,Middle,Middle,Upper
80,Middle,Middle,Upper
80,Middle,Middle,Upper
80,Middle,Middle,Upper
80,Middle,Middle,Upper
80,Middle,Middle,Upper
70,Middle,Middle,Lower
70,Middle,Middle,Lower
70,Middle,Middle,Lower
70,Middle,Middle,Lower
70,Lower,Middle,Lower
70,Middle,Middle,Lower
70,Upper,Middle,Lower
70,Upper,Middle,Lower
70,Middle,Middle,Lower
70,Middle,Middle,Lower
70,Middle,Middle,Lower
70,Lower,Middle,Lower
70,Lower,Middle,Lower
70,Lower,Middle,Lower
70,Middle,Middle,Lower
70,Middle,Middle,Lower
70,Lower,Middle,Lower
70,Upper,Middle,Lower
70,Upper,Middle,Lower
70,Middle,Middle,Lower
70,Upper,Middle,Lower
70,Middle,Middle,Lower
70,Middle,Middle,Lower
110,Middle,Upper,Lower
110,Middle,Upper,Lower
110,Upper,Upper,Lower
110,Middle,Upper,Lower
110,Middle,Upper,Lower
110,Middle,Upper,Lower
110,Upper,Upper,Lower
110,Middle,Upper,Lower
110,Middle,Upper,Lower
110,Middle,Upper,Lower
110,Upper,Upper,Lower
110,Upper,Upper,Lower
110,Upper,Upper,Lower
110,Upper,Upper,Lower
110,Upper,Upper,Lower
110,Middle,Upper,Lower
110,Middle,Upper,Lower
110,Middle,Upper,Lower
110,Middle,Upper,Lower
110,Middle,Upper,Lower
110,Lower,Upper,Lower
110,Lower,Upper,Lower
110,Middle,Upper,Lower
110,Middle,Upper,Lower
110,Upper,Upper,Lower
110,Middle,Upper,Lower
110,Middle,Upper,Lower
110,Middle,Upper,Lower
110,Middle,Upper,Lower
110,Upper,Upper,Lower
30,Middle,Lower,Upper
30,Middle,Lower,Upper
30,Lower,Lower,Upper
30,Lower,Lower,Upper
30,Middle,Lower,Upper
30,Middle,Lower,Upper
30,Middle,Lower,Upper
30,Middle,Lower,Upper
30,Middle,Lower,Upper
30,Middle,Lower,Upper
30,Middle,Lower,Upper
30,Middle,Lower,Upper
30,Middle,Lower,Upper
30,Middle,Lower,Upper
30,Middle,Lower,Upper
30,Middle,Lower,Upper
30,Middle,Lower,Upper
30,Middle,Lower,Upper
30,Upper,Lower,Upper
30,Upper,Lower,Upper
30,Upper,Lower,Upper
30,Middle,Lower,Upper
30,Middle,Lower,Upper
30,Middle,Lower,Upper
30,Middle,Lower,Upper
30,Middle,Lower,Upper
30,Middle,Lower,Upper
30,Middle,Lower,Upper
30,Middle,Lower,Upper
10,Middle,Lower,Middle
10,Middle,Lower,Middle
10,Lower,Lower,Middle
10,Middle,Lower,Middle
10,Middle,Lower,Middle
10,Lower,Lower,Middle
10,Middle,Lower,Middle
10,Middle,Lower,Middle
10,Middle,Lower,Middle
10,Middle,Lower,Middle
10,Middle,Lower,Middle
10,Upper,Lower,Middle
10,Upper,Lower,Middle
10,Middle,Lower,Middle
10,Upper,Lower,Middle
10,Upper,Lower,Middle
10,Upper,Lower,Middle
10,Middle,Lower,Middle
10,Middle,Lower,Middle
10,Middle,Lower,Middle
10,Middle,Lower,Middle
10,Middle,Lower,Middle
10,Middle,Lower,Middle
10,Middle,Lower,Middle
10,Middle,Lower,Middle
10,Upper,Lower,Middle
10,Upper,Lower,Middle
10,Lower,Lower,Middle
100,Middle,Upper,Middle
100,Upper,Upper,Middle
100,Upper,Upper,Middle
100,Middle,Upper,Middle
100,Middle,Upper,Middle
100,Middle,Upper,Middle
100,Middle,Upper,Middle
100,Middle,Upper,Middle
100,Lower,Upper,Middle
100,Lower,Upper,Middle
100,Middle,Upper,Middle
100,Middle,Upper,Middle
120,Middle,Upper,Lower
120,Upper,Upper,Lower
120,Upper,Upper,Lower
120,Middle,Upper,Lower
120,Upper,Upper,Lower
120,Upper,Upper,Lower
120,Upper,Upper,Lower
120,Upper,Upper,Lower
120,Upper,Upper,Lower
120,Upper,Upper,Lower
120,Upper,Upper,Lower
120,Upper,Upper,Lower
120,Middle,Upper,Lower
120,Middle,Upper,Lower
120,Middle,Upper,Lower
120,Middle,Upper,Lower
120,Middle,Upper,Lower
120,Middle,Upper,Lower
120,Middle,Upper,Lower
120,Middle,Upper,Lower
120,Upper,Upper,Lower
120,Middle,Upper,Lower
120,Middle,Upper,Lower
120,Middle,Upper,Lower
120,Middle,Upper,Lower
120,Upper,Upper,Lower
120,Upper,Upper,Lower
20,Middle,Lower,Middle
20,Middle,Lower,Middle
20,Upper,Lower,Middle
20,Middle,Lower,Middle
20,Lower,Lower,Middle
20,Lower,Lower,Middle
20,Middle,Lower,Middle
20,Lower,Lower,Middle
20,Lower,Lower,Middle
20,Middle,Lower,Middle
20,Middle,Lower,Middle
20,Middle,Lower,Middle
20,Middle,Lower,Middle
20,Middle,Lower,Middle
20,Middle,Lower,Middle
20,Middle,Lower,Middle
20,Middle,Lower,Middle
20,Middle,Lower,Middle
20,Middle,Lower,Middle
20,Middle,Lower,Middle
20,Lower,Lower,Middle
20,Lower,Lower,Middle
20,Lower,Lower,Middle
20,Lower,Lower,Middle
20,Middle,Lower,Middle
20,Middle,Lower,Middle
20,Middle,Lower,Middle
20,Middle,Lower,Middle
20,Middle,Lower,Middle
60,Middle,Middle,Lower
60,Middle,Middle,Lower
60,Middle,Middle,Lower
60,Middle,Middle,Lower
60,Middle,Middle,Lower
60,Upper,Middle,Lower
60,Upper,Middle,Lower
60,Middle,Middle,Lower
60,Middle,Middle,Lower
60,Middle,Middle,Lower
41,Middle,Middle,Upper
41,Middle,Middle,Upper
41,Middle,Middle,Upper
41,Middle,Middle,Upper
41,Middle,Middle,Upper
41,Middle,Middle,Upper
41,Middle,Middle,Upper
41,Middle,Middle,Upper
41,Middle,Middle,Upper
41,Upper,Middle,Upper
41,Upper,Middle,Upper
