Item,Scene Region,AOI
82,Upper,Irrelevant
82,Upper,Expected
82,Upper,"Expected, Target"
102,Middle,Irrelevant
12,Middle,Irrelevant
12,Lower,Irrelevant
112,Middle,Irrelevant
112,Upper,Expected
72,Middle,Irrelevant
72,Middle,Irrelevant
72,Middle,Irrelevant
72,Middle,Irrelevant
52,Middle,Irrelevant
52,Upper,Expected
52,Upper,Expected
52,Upper,Expected
52,Middle,Irrelevant
52,Middle,Irrelevant
52,Middle,Irrelevant
52,Middle,Irrelevant
52,Middle,Irrelevant
52,Upper,Expected
62,Middle,Irrelevant
62,Middle,Irrelevant
62,Middle,Irrelevant
62,Middle,Irrelevant
32,Middle,Irrelevant
32,Lower,Irrelevant
2,Middle,Irrelevant
2,Middle,Irrelevant
53,Middle,Irrelevant
53,Middle,"Irrelevant, Target"
63,Middle,Irrelevant
63,Middle,Irrelevant
73,Middle,Irrelevant
3,Middle,Irrelevant
3,Middle,Irrelevant
3,Lower,Irrelevant
103,Middle,Irrelevant
103,Middle,Irrelevant
103,Lower,Irrelevant
103,Middle,Irrelevant
103,Middle,Irrelevant
103,Middle,Irrelevant
103,Middle,Irrelevant
103,Middle,Irrelevant
33,Middle,Irrelevant
33,Middle,Irrelevant
43,Middle,Irrelevant
43,Middle,Irrelevant
43,Middle,"Irrelevant, Target"
83,Middle,Irrelevant
